response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,H3K27ac,-0.992206363386452,0.3244340707861,-0.985386881876702,1.00692061324864,-2.96573450064477,0.981321773871862
Transcription_rate,H3K27me3,0.203948545535033,0.798405288340418,0.25541150158414,0.798509637467701,-1.3611015852098,1.76899867627986
Transcription_rate,H3K36me3,0.623500595024568,0.194187626240548,1.29829021875125,0.480247471651043,-0.317767153077897,1.56476834312703
Transcription_rate,H3K4me1,1.76280233553077,0.313473022597607,1.00796133896326,1.74887891766157,-1.66493735640731,5.19054202746884
Transcription_rate,H3K4me2,-0.983193281196688,0.177589798274852,-1.34821326834173,0.729256493971454,-2.41250974487269,0.446123182479313
Transcription_rate,H3K4me3,2.79855514337397,0.0437083096912456,2.01687739420111,1.38756830307104,0.0789712432653729,5.51813904348256
Transcription_rate,H3K79me2,1.42706441410001,0.000313722214652534,3.60369745375276,0.396000061718255,0.650918555256592,2.20321027294343
Transcription_rate,H3K9ac,-4.60364267377512,0.0444358406727954,-2.0099560499211,2.29041957109253,-9.09278254260215,-0.114502804948088
Transcription_rate,H3K9me1,1.23626151268729,0.022724584380601,2.2780334556885,0.542688040687116,0.172612498099938,2.29991052727464
Transcription_rate,H3K9me3,0.702664274052053,0.207495193900031,1.26048295233022,0.557456388246312,-0.389930169862497,1.7952587179666
Transcription_rate,H4K20me1,-0.807718309972544,0.223922497182085,-1.21616388780585,0.664152519303788,-2.10943332804951,0.493996708104424
Half_life,H3K27ac,1.33655473120513,0.207668436759629,1.26000256550008,1.06075556336242,-0.742487969385707,3.41559743179597
Half_life,H3K27me3,-1.31424283347327,0.118208068778184,-1.56233934101011,0.841201907278073,-2.96296827546469,0.334482608518156
Half_life,H3K36me3,0.0180839634221437,0.971486138540572,0.0357444357852659,0.505923873880197,-0.973508608302028,1.00967653514632
Half_life,H3K4me1,-0.400736670730593,0.827810903591866,-0.217510014216908,1.84238262396032,-4.01174025943521,3.21026691797403
Half_life,H3K4me2,0.253764152295806,0.741161049685177,0.330316204969354,0.768246148624014,-1.25197063026887,1.75949893486048
Half_life,H3K4me3,-2.57788504910774,0.0778068734404584,-1.76355533364274,1.4617545590605,-5.44287133910355,0.287101240888071
Half_life,H3K79me2,-1.29453013138647,0.00191500054981364,-3.10310751679048,0.417172181235084,-2.11217258195925,-0.47688768081369
Half_life,H3K9ac,4.29267526130597,0.0752283759028738,1.77906945390679,2.41287671590301,-0.436476200999206,9.02182672361115
Half_life,H3K9me1,-1.45570215848779,0.0108885078510312,-2.54625672096499,0.571702824189738,-2.57621910375951,-0.335185213216067
Half_life,H3K9me3,-0.89975232546923,0.125493510448999,-1.53211722268787,0.587260760564228,-2.05076226570872,0.251257614770256
Half_life,H4K20me1,1.4275213582695,0.0413201395037091,2.04030316778294,0.699661393860746,0.0562102249293497,2.79883249160966
