response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,H3K27ac,-0.0971626986062364,0.747924557329889,-0.321377202489312,0.30233226829295,-0.689723055824719,0.495397658612246
Transcription_rate,H3K27me3,0.725303141553387,0.182154614537735,1.33415026739772,0.543644265025786,-0.340220038298901,1.79082632140568
Transcription_rate,H3K36me3,0.662155591454643,0.0308093416523363,2.1595265265591,0.306620726030021,0.0611900115222779,1.26312117138701
Transcription_rate,H3K4me1,0.638823492626354,0.419238355468891,0.807743327952561,0.790874366298538,-0.911261781614719,2.18890876686743
Transcription_rate,H3K4me2,0.0468485047601871,0.900379352865771,0.125182144248905,0.374242708824642,-0.686653726012821,0.780350735533195
Transcription_rate,H3K4me3,-0.465374498822487,0.219507741568488,-1.22783812259475,0.37901942467711,-1.20823892063071,0.277489922985741
Transcription_rate,H3K79me2,0.836987780956014,0.000482335761207375,3.49037912041255,0.239798529638547,0.366991299318801,1.30698426259323
Transcription_rate,H3K9ac,0.0863086155481139,0.864485127964874,0.170667615880629,0.505711731559438,-0.904868164867772,1.077485395964
Transcription_rate,H3K9me1,-0.194858128896765,0.562363743308185,-0.579334125842386,0.336348439017691,-0.854088955627707,0.464372697834176
Transcription_rate,H3K9me3,0.158638721491045,0.504320991427816,0.667706450870547,0.237587522606999,-0.307024265994768,0.624301708976858
Transcription_rate,H4K20me1,0.183034929250222,0.453091362858639,0.750271235811767,0.243958345347179,-0.295114641358233,0.661184499858677
Half_life,H3K27ac,-0.274666871378219,0.44508145543283,-0.763640586999282,0.359680818508507,-0.979628321584781,0.430294578828343
Half_life,H3K27me3,-1.82770002731462,0.00471474609427669,-2.82590353008631,0.646766603267168,-3.09533927612158,-0.560060778507665
Half_life,H3K36me3,0.13738812134323,0.706448595373081,0.376629992774633,0.364782741626847,-0.57757291442717,0.852349157113631
Half_life,H3K4me1,1.53182160345105,0.103514143871515,1.62805066201716,0.940893081025577,-0.312294948662005,3.37593815556411
Half_life,H3K4me2,-0.0361999861873674,0.935198649264222,-0.0813059411714245,0.445231746485091,-0.908838174072013,0.836438201697278
Half_life,H3K4me3,1.12733617636564,0.0124154581884122,2.50011047842184,0.450914544015375,0.243559909990208,2.01111244274108
Half_life,H3K79me2,0.000441957594665317,0.998763935317246,0.00154917796119092,0.285285232385803,-0.558706823202649,0.55959073839198
Half_life,H3K9ac,-1.48350499474967,0.0136717695308197,-2.46577365912278,0.601638755147316,-2.66269528654192,-0.304314702957419
Half_life,H3K9me1,-0.555848500799961,0.164801628581859,-1.38910235229689,0.400149420149539,-1.34012695272764,0.228429951127721
Half_life,H3K9me3,-0.14862035755235,0.599026067786414,-0.525801592747564,0.282654825702863,-0.702613635986407,0.405372920881707
Half_life,H4K20me1,0.27504179475004,0.34330513847316,0.947654957258985,0.290234111733638,-0.293806611332864,0.843890200832945
