response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,H3K27ac,0.0973670976310691,0.000137990979146352,3.81174179843715,0.0255439908524209,0.0473017955389035,0.147432399723235
Transcription_rate,H3K27me3,0.0122368810267163,0.467332641915512,0.726825855730679,0.0168360562990905,-0.0207611829611897,0.0452349450146224
Transcription_rate,H3K36me3,0.222128216730125,1.33226762955019e-15,7.98808200213973,0.0278074532372883,0.167626609883258,0.276629823576992
Transcription_rate,H3K4me1,-0.0139852164797704,0.606040064363034,-0.515734200656559,0.0271171011384672,-0.0671337580762962,0.0391633251167553
Transcription_rate,H3K4me2,-0.279688855318264,0,-8.67614312480157,0.0322365423547184,-0.342871317319612,-0.216506393316916
Transcription_rate,H3K4me3,0.053153738655878,0.222565795320285,1.2197338230473,0.0435781460278624,-0.0322578580717595,0.138565335383515
Transcription_rate,H3K79me2,0.53420925503622,0,22.0822602054902,0.0241917833620764,0.486794230924755,0.581624279147685
Transcription_rate,H3K9ac,0.181135721842991,0.000188824251348141,3.73351725489084,0.0485161067906427,0.0860458998632323,0.27622554382275
Transcription_rate,H3K9me1,-0.00643980990176049,0.770919743887307,-0.291172041999451,0.0221168552363027,-0.0497880496161998,0.0369084298126788
Transcription_rate,H3K9me3,-0.0158213727429285,0.478603314981706,-0.708550738963823,0.0223292022333722,-0.0595858049238494,0.0279430594379923
Transcription_rate,H4K20me1,0.075990832539709,0.00109523941452716,3.26484513227248,0.0232754784564057,0.030371733042216,0.121609932037202
Half_life,H3K27ac,-0.0464512465369275,0.342955832814455,-0.948341102164956,0.0489815810270003,-0.142453381255678,0.0495508881818234
Half_life,H3K27me3,0.0518660212842791,0.108149651638508,1.60656579187993,0.0322837829277989,-0.0114090305389159,0.115141073107474
Half_life,H3K36me3,0.105818564879812,0.0471973295525154,1.98452512925919,0.0533218568611996,0.00130964584306123,0.210327483916564
Half_life,H3K4me1,-0.0530771731494177,0.307371689295551,-1.02075255238186,0.051998080264963,-0.154991537733968,0.0488371914351328
Half_life,H3K4me2,-0.0707934793841764,0.25210511548316,-1.14525119795713,0.061814804918306,-0.191948270735426,0.0503613119670727
Half_life,H3K4me3,0.126065671847972,0.131392204961601,1.50863452974904,0.0835627644482874,-0.0377143369192757,0.289845680615219
Half_life,H3K79me2,0.142489095077211,0.00212889433269936,3.0716356147392,0.0463886713624101,0.0515689699162229,0.2334092202382
Half_life,H3K9ac,-0.239316027916899,0.0100990438198698,-2.57241950249925,0.093031493379828,-0.421654404369339,-0.0569776514644603
Half_life,H3K9me1,-0.0200899618714271,0.635707394023494,-0.473709056780077,0.0424099171925986,-0.103211872156246,0.0630319484133922
Half_life,H3K9me3,-0.0138311189186942,0.746674098542439,-0.323027918621636,0.0428171006943046,-0.0977510942019561,0.0700888563645676
Half_life,H4K20me1,-0.137487309950959,0.00206659580259583,-3.08049102885001,0.0446316216029639,-0.224963680864388,-0.0500109390375296
