response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,gc_5utr,0.368816917826994,2.77275646887176e-09,5.94451554945928,0.0620432253492116,0.247214430657837,0.490419404996151
Transcription_rate,len_5utr,0.190956896836872,0.00168082452250218,3.14150410542358,0.0607851813744882,0.0718201305491401,0.310093663124604
Transcription_rate,gc_cds,0.128769391652934,0.165122487477838,1.38804780891697,0.092770141507883,-0.0530567445432008,0.310595527849069
Transcription_rate,len_cds,0.127651098567169,0.0359792532450982,2.09716181749326,0.060868502135782,0.00835102658813691,0.246951170546201
Transcription_rate,gc_3utr,-0.00561075266012333,0.949439585722885,-0.0634105509436286,0.088482950812259,-0.17903414949798,0.167812644177733
Transcription_rate,len_3utr,0.111564583447733,0.137022475218832,1.4869709817833,0.0750280838123249,-0.0354877586534767,0.258616925548942
Transcription_rate,gc_intron,-0.467040995920622,3.17504988078809e-06,-4.65915828904546,0.100241495769466,-0.663510717385199,-0.270571274456045
Transcription_rate,len_intron,-0.276274316103916,1.06759337845652e-05,-4.4030098074412,0.0627466955983167,-0.399255579625515,-0.153293052582317
Transcription_rate,exonJunDen,-0.0980963901317844,0.204423497892249,-1.26904925336267,0.0772991196928356,-0.249599880766393,0.0534071005028241
Half_life,gc_5utr,-0.357504587676726,6.28697760518548e-10,-6.18306256451477,0.057819985475884,-0.470829676796088,-0.244179498557364
Half_life,len_5utr,-0.236119054525108,3.06999532353469e-05,-4.16821111291869,0.0566475756933941,-0.347146262695667,-0.125091846354549
Half_life,gc_cds,-0.415859912414786,1.50845426571955e-06,-4.81011242633018,0.0864553414881534,-0.585309268002678,-0.246410556826894
Half_life,len_cds,-0.379497001548285,2.23030482970898e-11,-6.69009250179046,0.056725224867477,-0.490676399303476,-0.268317603793095
Half_life,gc_3utr,-0.0644386967132135,0.434535393927277,-0.781454217108971,0.0824599769281529,-0.226057281658397,0.09717988823197
Half_life,len_3utr,-0.341941622955776,1.00630584531913e-06,-4.89040134560341,0.0699209735133887,-0.478984212805997,-0.204899033105556
Half_life,gc_intron,0.611265980620342,6.01623195706225e-11,6.54333380720245,0.0934181257797826,0.428169818588735,0.794362142651948
Half_life,len_intron,0.0243085201445911,0.677626721741171,0.415703852641884,0.0584755709866661,-0.0903014929646898,0.138918533253872
Half_life,exonJunDen,0.531943022411872,1.53210777398272e-13,7.38425961214134,0.0720374215361065,0.390752270661973,0.673133774161771
