response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,gc_5utr,0.057477105799852,0.0105155706837152,2.55839785816196,0.0224660545334984,0.0134444480394824,0.101509763560222
Transcription_rate,len_5utr,0.0357455376374227,0.104371299697815,1.62402112672962,0.0220105127015222,-0.00739427453882222,0.0788853498136676
Transcription_rate,gc_cds,0.0133965934412034,0.690041546759508,0.398798684073079,0.033592371229461,-0.0524432443238397,0.0792364312062465
Transcription_rate,len_cds,0.105571270494885,1.66917242316877e-06,4.7898365253492,0.0220406834212758,0.0623723247945357,0.148770216195235
Transcription_rate,gc_3utr,0.0121035022355484,0.705606922897509,0.377762649102231,0.0320399654765047,-0.0506936761643075,0.0749006806354044
Transcription_rate,len_3utr,0.0968310521727844,0.000365009986317277,3.56416953794959,0.0271679141920083,0.0435829188213736,0.150079185524195
Transcription_rate,gc_intron,0.179082578134182,8.06834313138438e-07,4.93370703734181,0.0362977730089682,0.107940250317594,0.25022490595077
Transcription_rate,len_intron,-0.315544091345318,0,-13.8879054333365,0.022720783408266,-0.360076008526054,-0.271012174164581
Transcription_rate,exonJunDen,0.117928251165548,2.51790994869605e-05,4.2131882866147,0.0279902637012938,0.0630683423932331,0.172788159937862
Half_life,gc_5utr,-0.0461774997460817,0.0753687826891101,-1.77821358438316,0.0259684776629913,-0.0970747806988776,0.00471978120671415
Half_life,len_5utr,-0.0809054416224937,0.00147272180425584,-3.18000565080963,0.0254419175644846,-0.13077068374652,-0.0310401994984669
Half_life,gc_cds,-0.300496085193838,9.99200722162641e-15,-7.73888646361071,0.0388293699108795,-0.376600251761545,-0.224391918626131
Half_life,len_cds,-0.357418810370782,0,-14.0291922325486,0.0254767918527446,-0.407352404843785,-0.307485215897779
Half_life,gc_3utr,-0.082165120300236,0.0265150748295311,-2.21858347471347,0.0370349465038036,-0.154752281617059,-0.00957795898341342
Half_life,len_3utr,-0.327193322648644,0,-10.4190579353659,0.0314033499648789,-0.388742757573714,-0.265643887723574
Half_life,gc_intron,-0.0348437765980172,0.406271363353135,-0.830473077536468,0.0419565396404884,-0.117077083209301,0.0473895300132671
Half_life,len_intron,0.0635848728575564,0.0154740719005544,2.4210893835001,0.0262629183750472,0.0121104987135488,0.115059247001564
Half_life,exonJunDen,0.3159226017751,0,9.76459028008911,0.0323539024898253,0.252510118135721,0.379335085414478
