response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,H3K27ac,0.303262853941225,0,13.4054878939468,0.0226222914332093,0.258923977484366,0.347601730398084
Transcription_rate,H3K27me3,-0.0913524489383885,2.22697238427827e-09,-5.980321788517,0.0152755072668158,-0.121291893026927,-0.0614130048498496
Transcription_rate,H3K36me3,0.13762929721011,1.11910480882216e-13,7.42589724754274,0.0185336926464545,0.101303927122524,0.173954667297696
Transcription_rate,H3K4me1,-0.0294244939161257,0.0884151429724529,-1.70381773850828,0.0172697426791009,-0.0632725675894377,0.00442357975718633
Transcription_rate,H3K4me2,-0.456051688246297,0,-14.276299537668,0.0319446707490975,-0.518662092412518,-0.393441284080076
Transcription_rate,H3K4me3,-0.0342712444723946,0.40595683339564,-0.831029731964457,0.0412394925887686,-0.115099164687087,0.0465566757422983
Transcription_rate,H3K79me2,0.475117765752281,0,21.4590811472486,0.0221406388508484,0.43172291100991,0.518512620494652
Transcription_rate,H3K9ac,0.301905236920437,8.88178419700125e-16,8.05751416316469,0.0374687814140757,0.228467774804245,0.375342699036629
Transcription_rate,H3K9me1,-0.00384209295401426,0.851986093182405,-0.186584917470911,0.0205916587797792,-0.0442010025443195,0.0365168166362909
Transcription_rate,H3K9me3,-0.108878610002821,2.98464087000738e-07,-5.12441428454965,0.0212470350672262,-0.150522033512844,-0.0672351864927982
Transcription_rate,H4K20me1,0.160495643071166,1.72084568816899e-13,7.36887531319425,0.0217802088174558,0.117807218213191,0.203184067929141
Half_life,H3K27ac,0.158991690319879,1.76590500382545e-05,4.29260310841168,0.0370385256462035,0.086397514012857,0.231585866626901
Half_life,H3K27me3,0.110734585753594,9.52776407325828e-06,4.42762209747694,0.0250099451388807,0.0617159940260656,0.159753177481123
Half_life,H3K36me3,-0.0683694812224563,0.0242519410765181,-2.25311433137697,0.0303444349318363,-0.127843480820075,-0.00889548162483799
Half_life,H3K4me1,-0.181277800874287,1.4434609063585e-10,-6.41123446145555,0.0282750228468686,-0.236695827316196,-0.125859774432377
Half_life,H3K4me2,0.0578682420358684,0.268539529297909,1.10643212024108,0.0523016649437647,-0.0446411375853915,0.160377621657128
Half_life,H3K4me3,0.179024460481168,0.0080149122085369,2.65144096918275,0.0675196855453087,0.0466883085648934,0.311360612397443
Half_life,H3K79me2,0.253176238917013,2.8652635819526e-12,6.98418441087183,0.0362499361447143,0.182127669631496,0.32422480820253
Half_life,H3K9ac,-0.185145183260245,0.00254410889303314,-3.01804527893189,0.0613460588390409,-0.30538124917824,-0.0649091173422499
Half_life,H3K9me1,-0.0136351179675319,0.685891678345449,-0.404436616787377,0.0337138562671248,-0.0797130620310565,0.0524428260959928
Half_life,H3K9me3,0.014731090961542,0.671954637099459,0.423466908705486,0.034786876279363,-0.0534499336806601,0.0829121156037442
Half_life,H4K20me1,-0.153770762771474,1.61669079805637e-05,-4.31215766462854,0.0356598192206221,-0.223662724139102,-0.0838788014038452
