response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,gc_5utr,0.052637844709211,0.00193378044926185,3.10021832549846,0.0169787541336295,0.0193600981049366,0.0859155913134855
Transcription_rate,len_5utr,-0.0264136395226409,0.102887374161658,-1.63101395880313,0.0161946127929056,-0.0581544973403075,0.00532721829502582
Transcription_rate,gc_cds,-0.094992631755831,0.00113295089235521,-3.25524373679994,0.0291814190998839,-0.152187162209373,-0.0377981013022895
Transcription_rate,len_cds,0.0497223606900068,0.00274237162243929,2.99523089786242,0.0166005100726931,0.0171859588225339,0.0822587625574796
Transcription_rate,gc_3utr,-0.0842179844722236,0.00111173660010833,-3.26060789779933,0.0258289212048663,-0.134841739793284,-0.0335942291511627
Transcription_rate,len_3utr,0.0735116437048121,0.000145145884859366,3.7992307848589,0.0193490861354826,0.0355881317455028,0.111435155664121
Transcription_rate,gc_intron,0.187556878749095,4.50310677635457e-10,6.23550925628828,0.030078838959296,0.128603437692094,0.246510319806095
Transcription_rate,len_intron,-0.40986266575358,0,-23.4925243830206,0.0174465144346008,-0.444057205701155,-0.375668125806004
Transcription_rate,exonJunDen,0.0185254687182664,0.341315721356819,0.951568779513137,0.0194683443983364,-0.0196317851410951,0.0566827225776278
Half_life,gc_5utr,0.00165522979301488,0.918262397812762,0.102622735466264,0.0161292698493602,-0.029957558208659,0.0332680177946887
Half_life,len_5utr,-0.105197521317668,8.03335176158271e-12,-6.83795203179488,0.0153843608186376,-0.135350314447367,-0.0750447281879694
Half_life,gc_cds,-0.329593069703434,0,-11.8894776518817,0.0277214087408854,-0.383926032436284,-0.275260106970585
Half_life,len_cds,-0.375676707266267,0,-23.8223141650873,0.0157699501678489,-0.406585241633242,-0.344768172899292
Half_life,gc_3utr,-0.1375562421244,2.06870007790627e-08,-5.60615559362976,0.0245366436637443,-0.185647180006832,-0.0894653042419686
Half_life,len_3utr,-0.2963394782703,0,-16.1220463547523,0.0183810089457377,-0.332365593803455,-0.260313362737146
Half_life,gc_intron,0.0121088318582688,0.671732076252822,0.42377203281677,0.0285739287177178,-0.0438950393252729,0.0681127030418104
Half_life,len_intron,0.065643887904293,7.47167168788643e-05,3.96074363194455,0.0165736270772125,0.0331601757397587,0.0981276000688273
Half_life,exonJunDen,0.431718328043798,0,23.34331752984,0.0184943004563052,0.395470165230177,0.467966490857419
