response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,gc_5utr,-0.0304333208468651,0.063625701613667,-1.85479363300115,0.0164079282489354,-0.0625922692756958,0.00172562758196561
Transcription_rate,len_5utr,-0.0194537823073962,0.217039697335816,-1.23443810493029,0.0157592205147416,-0.0503412869407145,0.0114337223259221
Transcription_rate,gc_cds,0.00932139234312521,0.744464548044369,0.325946876922168,0.0285978881931458,-0.0467294385493437,0.0653722232355942
Transcription_rate,len_cds,-0.0294840554871419,0.0745253649813704,-1.7833744777176,0.0165327337895271,-0.0618876182806033,0.00291950730631957
Transcription_rate,gc_3utr,-0.161753934018696,2.99037461459761e-10,-6.29927688333004,0.0256781749738212,-0.212082232156103,-0.111425635881289
Transcription_rate,len_3utr,-0.0173607196150627,0.366857021546986,-0.902376271546306,0.0192388919816271,-0.0550682550015082,0.0203468157713827
Transcription_rate,gc_intron,0.198254454710491,4.31275015699839e-11,6.59291440789718,0.0300708370296778,0.139316697147349,0.257192212273633
Transcription_rate,len_intron,-0.371436463002325,0,-21.197628494388,0.0175225480105315,-0.405780026020341,-0.337092899984309
Transcription_rate,exonJunDen,0.038622923292844,0.0476249701391371,1.98069961354246,0.0194996369104992,0.000404337236657712,0.0768415093490303
Half_life,gc_5utr,-0.0320434727742348,0.113858768131783,-1.58108428192194,0.0202667708107775,-0.0717656136462864,0.00767866809781685
Half_life,len_5utr,-0.0766274893742004,8.26511556506482e-05,-3.93657976692353,0.0194654989638596,-0.114779166284467,-0.0384758124639339
Half_life,gc_cds,-0.408694946312944,0,-11.5700302806336,0.0353235848480911,-0.477927900420048,-0.339461992205841
Half_life,len_cds,-0.392815417433772,0,-19.2359236246458,0.0204209283161471,-0.432839701464294,-0.352791133403249
Half_life,gc_3utr,-0.150122472783399,2.21056303040257e-06,-4.73315522507639,0.0317172088479258,-0.212287059815469,-0.0879578857513294
Half_life,len_3utr,-0.293522620746466,0,-12.3518131154998,0.0237635250794181,-0.340098274047839,-0.246946967445092
Half_life,gc_intron,0.145530245835637,8.92449336060697e-05,3.91811282765149,0.0371429441256973,0.0727314130694869,0.218329078601788
Half_life,len_intron,0.0371972849302541,0.085681198502962,1.71863311172138,0.0216435286138514,-0.00522325165125666,0.0796178215117649
Half_life,exonJunDen,0.409891174889052,0,17.0181064201081,0.0240855924137798,0.362684281211733,0.457098068566372
