ensembl_transcript_id,K562_PROseq_1_PROseq,K562_PROseq_2_PROseq,polyadenylated_mRNA_1_RNAseq_ex,polyadenylated_mRNA_2_RNAseq_ex
ENST00000000412,6.4830270788898154,6.481697126831551,6.575500289003718,6.367002151656294
ENST00000000442,7.731531607043565,7.7034636910376095,6.82723149721227,6.7447765827633095
ENST00000001008,6.842714108413996,6.837167687011334,7.007678738219938,6.973685968572962
ENST00000002125,5.6220515917855405,5.598775522604312,5.262768740388797,5.111622538383906
ENST00000002165,6.572318512549017,6.581884423412426,6.905484562715378,6.812066150633182
ENST00000002501,5.192724364554748,5.1084343779926895,4.002273573529197,3.7851463524892104
ENST00000005082,7.012188346778988,6.991010951525569,6.358228372000301,6.474709283023121
ENST00000005178,-1.7153742433072219,-0.688526833062614,-4.5943652889860305,-2.999827816157292
ENST00000005180,2.7481193293961774,2.6145020674475394,3.9156072261377854,3.5051691036758164
ENST00000005257,6.170340857828965,6.139299654930681,5.085363987747947,5.181499061389881
ENST00000005340,6.634771348639127,6.67616706745289,5.103252965536346,4.913724552367063
ENST00000007264,5.94969012330867,6.092924108104418,6.438379831394521,6.204952973585449
ENST00000007390,5.845435351310401,5.862914579020814,6.741407301752686,6.259596295890151
ENST00000007414,5.135410418840921,5.209954571116826,3.9061336162023754,4.068259684327526
ENST00000007516,7.033035101376414,7.070880321252788,9.434128411386432,9.187124667649899
ENST00000008527,4.9742355032643015,4.946816017676842,5.098976267969316,5.206903001402714
ENST00000009180,1.339917901709873,1.248928821660623,0.28317865620167915,-0.5962150593019948
ENST00000011619,7.169002264177709,7.159178999059051,6.229588974180646,6.297017266469784
ENST00000011691,6.981569622703853,7.006211076798654,7.024794536336411,7.007799394989206
ENST00000011898,1.6046843118459224,1.5668642857629698,-0.037487799240069855,-0.06149542765686857
ENST00000012049,6.025700487666319,5.9530122243600125,5.195856696260068,5.384134874632368
ENST00000012443,6.278493133099048,6.256380778900169,7.471663159031213,7.328133506080471
ENST00000013807,6.648848620154467,6.622890724070931,6.909973091625363,7.1509876236942125
ENST00000014914,0.37213402090897274,0.5818454883033912,-4.166633820542514,-7.938418561959591
