ensembl_transcript_id	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H4K20me1
ENST00000373020	-0.623217473679809	0.638112922648882	-0.819648497963857	-0.61669923284728	-0.931718023621545	-0.630398487456447	-0.596947033774164	-0.79184004651552	-1.34101678486294	-0.696325879643683	-0.170621201089585
ENST00000371588	0.384180723181304	-0.297117693543365	-0.00958466633636104	-0.60019443688942	1.18318011271023	1.6860366411113	3.14764717864065	0.90130794994514	1.18075763428019	1.25370641928342	3.80968101631736
ENST00000367772	0.60050790209387	-0.445913235144963	0.00026183185078959	0.189972669593143	1.25378801023491	1.38226630509553	0.336902289674273	1.35079436364753	0.256473733449208	0.70912578380803	0.332612410859936
ENST00000496973	0.640964229333852	-0.445913235144963	0.798643871250334	-0.546401027841579	1.52721355136198	-0.328990070713692	-0.111394628924775	-0.483832946729588	0.45977700790233	1.21432316395911	-0.301596663069411
ENST00000399173	-0.60445475596913	1.60723152868233	-0.704724133028032	-0.608676068145543	-0.906410710286518	-0.621936854332734	-0.563830885070122	-0.666003651842451	1.57364987779338	-0.245510041170986	0.203108324966947
ENST00000367429	-0.366624735633799	-0.534333622431777	-0.603491644269606	-0.504298515930556	-0.785851208101972	-0.628988215269161	-0.502268015320986	-0.726595212456077	-0.69403312494652	2.79929513244482	-0.839269671551454
ENST00000002165	2.19132121556086	-0.163123802677004	2.93049812372274	-0.494135840641688	2.94013713441481	0.327910127872834	2.90646776405528	0.249503147167678	1.84673033243315	1.26112904059131	1.91866387146451
ENST00000341376	4.00831227925981	-0.228562679611738	-0.154864212073992	-0.379137146583448	2.20056962781457	3.01335501315272	-0.497976602742369	2.29441881496856	1.33541280125113	-0.680128750672869	0.567871652994317
ENST00000337248	-0.0146595060223846	-0.120276918969737	0.369155934051637	-0.298676266288879	0.621983286366766	-0.17540798983005	-0.0456055216108718	-0.0933540005528879	0.41504727338959	0.802916088100443	-0.0105170906406621
ENST00000374399	-0.0757746703349955	0.229119941806792	-0.0105168791824818	0.17537815094522	0.00244249640717905	-0.566890376518448	-0.419295877688922	-0.519623549935186	2.35006041102361	0.596893709049636	0.329738629440333
ENST00000374807	-0.0350119579542106	-0.119887401845125	0.312698793558449	-0.573756198919884	1.31833793879751	0.933524574477835	2.00032795982861	0.00891900943710491	1.43400509342847	0.360109538599141	1.43998384796408
ENST00000450338	-0.609054386982316	0.618637066418307	-0.669766151298504	0.301609275585893	-0.815030096389305	-0.606527050920445	-0.58391203100415	-0.623183635559128	-0.0119950976188351	-0.774480215339074	-0.348496775837332
ENST00000265742	2.04840699950558	-0.420984139169826	0.743788971586416	-0.559314502456757	2.11883637882145	0.722213058935803	1.20346203215661	0.87705152453609	1.89435363467717	0.894971896692045	1.56245291694188
ENST00000309032	-0.5998647597088	-0.255049844085321	0.41975761260513	0.715451752010761	-0.707527786589778	-0.559208406067381	-0.37935807753524	-0.420419720303073	-0.0481044115987965	-0.634470702077977	-0.272169141332676
ENST00000618908	-0.522990993625835	-0.398392145942359	-0.797158863051193	-0.261769708660886	-0.406140870807167	-0.334034946830811	-0.543620837442036	-0.216467735231064	-0.896703431458423	-0.616615599275505	-0.87180087722136
ENST00000381192	-0.616679330392109	-0.0248452234399158	-0.871502837529323	0.159637465911335	-0.902908138655354	-0.616502146879293	-0.5891839654578	-0.648875645329122	-0.653794448683374	-0.663549012356288	-0.549523533701401
ENST00000318008	-0.11540240882941	-0.226615093988681	-0.534303972096581	-0.0119818476134532	0.132422436319711	0.535541176974878	-0.547240223211176	0.331479964468466	-1.01805242818908	-0.984940862800782	-0.414340855723276
ENST00000359238	-0.527987576456665	-0.172082696543068	-0.25155216320758	-0.423149935804409	-0.530216757581422	-0.494324419824713	-0.506579704570578	-0.405519344694657	0.490219751741863	-0.540093730122054	-0.500853171579005
ENST00000000412	0.777236246770588	-0.174030282166126	-0.24080258382575	-0.678821450966449	0.675344718507569	1.18450716130448	1.68605693971085	0.115152252146943	0.844621516162887	0.0936858974965433	1.9865081032185
ENST00000469946	-0.613519131455526	-0.4708423311201	-0.996040647440768	-0.694103669445949	-0.945086994213732	-0.629893999844735	-0.587894948517209	-0.811641210114744	-1.48569517142706	-1.06809462728087	-0.966336790800621
ENST00000401396	-0.597140051601282	-0.571337749269871	1.09039736043469	-0.59041381706254	-0.918962743044733	-0.632187125352516	-0.558900757355774	-0.742535149153452	-0.493111015605599	0.277899543838617	-0.834717601782803
ENST00000002501	-0.604287111269446	-0.217656200122616	-0.848459701239276	2.28952025539929	-0.450237754323568	-0.345924802588656	-0.404483769541263	0.108617868159199	0.067035471041815	-0.554964480027542	0.332911284127575
ENST00000467448	-0.328968267573607	-0.419815587795992	0.741662361031203	-0.560995546489502	0.248719654153094	-0.195071541059273	-0.0961089156764714	-0.473684850384986	-0.265332980758714	-0.662528720767576	0.0633275967174567
ENST00000346817	-0.36283442386047	-0.521869074444209	-0.259738157262578	-0.464335514606662	-0.736675102400436	-0.573551906118552	-0.509178015122735	-0.645558950426252	0.283600930929981	-0.20995287930435	-0.784299980557288
ENST00000339091	1.22627546530168	-0.339185543001408	-0.612085481444782	-0.636642527963028	-0.373901425562125	-0.392888012988014	0.901375842961534	-0.27730681038968	-0.858152669705192	0.907827570709824	-0.662175765349839
ENST00000002125	0.572807987634487	-0.513299697702755	0.739477487173108	-0.608828890330338	1.76713674817699	0.533351242114947	4.04282599387137	0.165397704779974	0.396630920433199	0.686169223061995	0.676891424928376
ENST00000579593	-0.631328008633516	1.28003714400866	-0.70055830687193	-0.557098580777229	-0.905424070390416	-0.628713040208227	-0.581975608925982	-0.715556063749509	-1.21776888430863	-0.706350244502785	-0.889894205039181
ENST00000540200	0.109183680230837	-0.283484594181962	-0.470214338925779	-0.348419887439652	1.09543230691047	1.14332262718473	1.08514765701412	0.867249948554474	0.616662633332797	1.06559015761452	0.731493271900833
ENST00000324093	-0.555521773166934	-0.111707542228284	-0.817609282362967	2.33735359924013	-0.277445536039361	-0.300853420733218	-0.168369177698866	0.031096312668236	-0.440454111162367	-0.897195786171492	-0.503083225960617
ENST00000467905	1.2558657182713	-0.17247221366768	2.48542475300296	-0.517746868192516	2.57107856143833	1.30655876645613	5.31780278814472	0.553748025869758	1.13620874775066	1.14285173816979	1.63806785365447
ENST00000226279	-0.608268191149312	1.10008023243814	-0.694528055023586	-0.60844683486835	-0.924120896421556	-0.627600874336954	-0.596729783727997	-0.746693393509289	-1.20010606461559	-0.410644234804133	0.624588603091601
ENST00000001008	-0.586589997224578	-0.324773409390782	-0.241530875111781	0.672203073713775	-0.871582321954103	-0.618267853520284	-0.525746951977064	-0.663231488938559	-1.12098507196334	0.742922942684138	-0.80115183480184
ENST00000356634	-0.164568552650707	-0.424100276166719	-0.291054682561947	-0.176953396099659	-0.04832012624729	-0.54780010666617	-0.358203716373148	-0.455121259510713	-0.180726265949239	1.00526541743188	-0.588147155980866
ENST00000348335	-0.546075861467464	-0.359829950605819	-0.996040647440768	1.87682394536039	-0.253576743672851	-0.231486374122838	-0.339488349062689	-0.0821663431193262	-0.255687754987773	-1.07829754316799	-0.792208627024035
ENST00000444129	-0.440662030476123	-0.489928670226065	-0.402017142901758	-0.531882920286054	0.128248949559197	-0.39554803857704	-0.232456492984461	-0.429924278830701	-0.545074669446545	0.335495004021448	0.434298292611169
ENST00000485994	-0.321254684437544	0.114601907171006	0.0687212127377825	-0.327330425937942	0.670559515011472	-0.106419308928454	-0.461243964936469	-0.361610264413377	0.41971917962239	0.86558749893712	-0.371464036942799
ENST00000007516	0.624421358681066	-0.184936761655248	1.16442088674697	-0.462730881666315	2.16275566715655	3.00172886682827	3.86688531981629	1.02862943188815	-0.381015407348941	1.14667783162746	1.38977313900078
ENST00000005178	-0.615108865676673	2.44741996646937	0.0357733149577021	-0.644436459387573	-0.885981344597821	-0.606481188410289	-0.577921723064508	-0.70327934231799	0.0218234752405278	-0.133890141365819	0.30189743504722
ENST00000231749	-0.617978095077022	-0.143647946446428	-0.261194739834641	-0.288590002092409	-0.914402493444948	-0.624333170488365	-0.581268822109119	-0.607887236678728	-0.859509029579231	-0.299151871447556	-0.566881173475803
ENST00000379044	-0.6256107462891	1.95662838945886	-0.8503823902344	-0.602792414030935	-0.935220595252708	-0.626408449072907	-0.583810647649272	-0.771494350917317	-0.941342741979561	-0.816184634027705	-0.541017140699376
ENST00000265631	0.914870618261083	-0.0232871549414697	1.0274438616701	-0.307692775191784	0.929607739572537	0.929534536094296	0.457917807057444	0.876209975083123	0.657654842859297	0.278945342717048	0.909897622429787
ENST00000422922	1.28374291218322	-0.444744683771129	1.32878166417863	-0.244347979594255	-0.251017399782362	-0.624057995427432	-0.046302170092247	-0.689022504526549	0.715285066840671	1.30232331348558	-0.283411374246163
ENST00000262418	-0.401911054491553	0.181209335479575	-0.0962221977227087	-0.175883640806094	-0.633725149081526	-0.612615299143604	-0.552229732604809	-0.627490388641959	0.831962157338526	0.466602473171027	0.99935269045919
ENST00000426151	-0.640833655800691	1.90793874888242	-0.469486047639748	-0.669117242231966	-0.945086994213732	-0.629034077779317	-0.588329448609543	-0.79184004651552	-0.633087354606384	0.650969163251408	-0.290423400909994
ENST00000380763	-0.336541183317981	-0.359440433481207	-0.343986893230741	-0.435070066218419	0.218153550171841	-0.458047174291615	-0.280318126488671	-0.468586050758186	0.584230561678007	0.248030507579054	-0.625506314435705
ENST00000005340	0.806903577763051	-0.235963504979357	-0.0141000723097584	-0.565580212033352	0.523475185860109	0.514960375542542	0.515700526003276	0.287075855097206	-0.711575379317419	-0.440207183587083	-0.599642281659278
