V1	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H4K20me1
ENST00000000442	2.21412468804894	0.218636019784856	1.5076590895268	1.04625074028042	2.65958116325842	3.4041043381539	2.42421613499635	4.71805720630855	1.06885191745109	0.944242550321642	1.01810904121507
ENST00000001008	0.0240149642365357	-0.407190519357837	1.10192171684179	0.0707460201432927	1.13505308433503	2.59774050872403	1.17664435621211	1.52781873609433	0.328130959226785	-0.329023477632565	1.85323304910759
ENST00000001146	-0.495520980430855	1.58938040786348	-0.754868490087821	-0.477095698379891	-0.776618828497119	-0.427274256334235	-0.635334015728613	-0.657360179423415	-0.888124980150625	1.25960023078087	-0.605989327803147
ENST00000002125	-0.247637719813864	-0.375455585802619	0.190988560607601	-0.027029318492496	-0.014034420471292	-0.2910141762	0.263185067764088	0.0380568634379562	2.26109207481166	-0.211954140138817	0.151550531067657
ENST00000002165	-0.192018641038263	-0.517068461344722	0.0929104660919352	-0.151455516040936	0.160884200289978	0.477381640745108	0.520453534742381	0.207198537552694	0.0606671386621944	-0.771908147022529	-0.649273301265978
ENST00000002501	-0.452679942813332	-0.146145098177815	-0.401034793794847	0.727939544142448	-0.57154110339671	-0.343867587102492	-0.499794851988732	0.0153341590536437	0.217500881411508	-0.173598981425299	0.526057112182695
ENST00000002596	-0.509161032301977	0.0705396631938366	-0.684434539428315	-0.506328359249705	-0.779822514138416	-0.425411252777573	-0.642317837297065	-0.624627794972701	-0.701088719970298	-0.854379565840003	-0.575926129337899
ENST00000003084	-0.444659365625174	0.211470067046581	-0.497921656393319	-0.554966176765294	-0.763281035214981	-0.438042416891739	-0.623028263464942	-0.645377788686993	-0.343973478949402	0.981846261027711	-0.628844390963862
ENST00000003302	-0.399321777949455	-0.230430351813718	-0.1814132268391	0.112054851457902	-0.671935458007434	-0.389324873885036	-0.542653530314091	-0.464180660477684	-0.312308642238675	-0.481066457806313	-0.647954739929782
ENST00000004982	-0.385392400683297	-0.602718658359344	-0.403171447868545	0.390389759226902	-0.748177945763149	-0.422300036837948	-0.629785757482565	-0.470464109278491	-0.855082188734013	-0.68395741981741	-0.765746219296544
ENST00000005178	-0.487685332876637	0.0432407956194553	-0.705233826871391	-0.503996409094848	-0.779822514138416	-0.43660790415311	-0.613232807065043	-0.636975502499868	-0.543636303679567	0.0942922332300934	-0.459400468853884
ENST00000005257	0.200405024919363	-0.529352951753194	0.130405908818861	-0.360248338834737	0.693216452208758	-0.181767647637359	0.190147227160983	-0.103320734580194	-0.126284756944303	0.101117885964418	1.19520061907498
ENST00000005260	0.441144632741397	0.588876911262403	0.337264276661812	-0.383484556449204	0.578221136834471	0.18051202399107	-0.0551245863230579	0.104982899502362	0.202005921351463	0.0580974875379905	0.0595852730725033
ENST00000005284	-0.495067604554098	0.438391903758626	-0.735960046957752	-0.521819170992684	-0.753539215611852	-0.428671509001731	-0.617229104962546	-0.658894509944542	0.119159909850749	-0.254567504227876	0.279872920306163
ENST00000005286	-0.474486725938147	3.26280099017306	-0.777785523161464	-0.527982182116234	-0.686850249201165	-0.428783289215131	-0.597326506792748	-0.579328512920374	0.337889128266414	-0.308233416093157	0.447734568812706
ENST00000005340	0.184471249040173	-0.383986481919613	-0.428017142141455	-0.228326587217114	0.450486921248951	0.788894465454507	0.369899154630328	0.300427382550709	-0.460902778277293	-0.557933326901567	-0.110139942122529
ENST00000005374	-0.167658635870659	-0.437560509534337	1.38031072504579	0.26221578464387	0.352103696644887	-0.165056505734104	0.149691500775288	0.2942900604662	-0.566386617088961	1.41846886368894	0.915595292530356
ENST00000005386	-0.427261066354617	-0.469295443089555	-0.127807790565356	0.266796401019482	-0.397443672261047	-0.304949442803829	0.00627872486712226	-0.107704536069129	-0.420126567592963	-0.489520247890109	0.651338019939044
ENST00000006275	-0.318534372541769	-0.350886604985676	-0.359492944238086	1.48907141790094	-0.373752090036952	-0.338688437214972	-0.47603821895338	-0.107266155920235	-0.488096292575049	-0.68395741981741	-0.926171181866947
ENST00000007264	-0.437107077993929	-0.252610681717903	0.0249346130393387	3.50387635169737	-0.510192484806048	-0.193281009617528	-0.342451938652085	0.261119295866593	-0.309440246728467	-0.219781723549739	0.0197823015372275
ENST00000007390	-0.365360345497104	-0.0188641281122624	0.561839855717637	1.25937432764753	-0.512603748611171	-0.263683914023773	-0.454111605829021	0.00371708510796636	0.864717770307949	-0.707314928715601	-0.149872590386541
ENST00000007516	-0.19051534207849	-0.57917338507644	0.894193560614853	0.127878798937288	0.219361270444604	0.15562229647407	0.613458638529807	0.166940627212642	-0.0138267800293839	-0.218623241204922	-0.0108434830981305
ENST00000008527	0.189535934821315	-0.369313340598383	0.0841558569227136	-0.355251302788615	1.4722429595218	-0.200658503701908	-0.143636764901447	-0.21196594814763	0.00751745714951677	0.663952443543349	1.75838453699063
