V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000467721,-0.409416985053786,-0.3213963773212,-0.411624845997576,-0.174610133623593,-0.485701123462108,-0.40313552274385,-0.306954906512221,-0.471420483244521,-0.372952601776471,-0.791147804806258,-0.228711047414469,3.60233094500323,3.5438924094320985,4.66346322182622,4.643708090519331,4.76013866831083,4.821272388345802
ENST00000470465,-0.462260065178986,-0.576493775167672,-0.55155971268368,-0.520777560468495,-0.611799690858832,-0.410763088187393,-0.377299503751205,-0.55579677212813,-1.06700144315114,-0.77469550193597,-1.10353522252967,2.1646981588261136,2.140927679464486,2.0873883673150653,2.217128228663526,1.7686805517772017,2.348888836876873
ENST00000499346,0.571799918086424,-0.358205733386295,-0.197927702126085,0.550257208610013,1.86433885094245,1.51887029671535,0.66880413841641,1.17900982037115,0.69179888836965,-0.329935783455188,-0.405699525655143,4.783718097034448,4.830681619100884,3.824426335671276,3.27682458553995,3.304475933668748,3.541479464250642
ENST00000503650,0.364414686428861,-0.362913906836482,-0.126418613472085,-0.380770054061329,1.42104188625613,2.41421831167938,0.138291481697245,1.19966985818421,0.0359119704396396,-0.173912676678953,-0.110247615880602,2.190715811222977,2.1192938921187574,1.8087589693892916,1.4425413360753416,0.5086668320187755,1.896230039176051
ENST00000504827,-0.253920520167464,-0.491746653064314,-0.582985763253017,-0.483985943898069,-0.286166877945793,-0.204646888384124,-0.204654400369106,-0.377958407423513,-0.781171404135742,-0.0942063535815357,-0.786015965286647,4.384128312093011,4.2842193246736455,1.5847759249138884,1.6779899102372358,2.6185845240968106,2.546716112616789
ENST00000505196,-0.462260065178986,-0.406143499424559,-0.332763247399052,-0.523496152825916,-0.587231046456158,-0.407637036776105,-0.307103469547572,-0.554697218294942,-0.339126561656305,-0.107373410553795,-1.10353522252967,4.979618831366324,4.926225194270182,4.00356555905384,3.8419656453483615,3.9722214787115115,4.251260229090618
ENST00000511243,0.631924894346416,-0.230657034463059,0.00106442185635718,-0.282900729194184,0.711307800480564,-0.221730759346813,0.703481722128182,-0.129343498614196,0.021120765623458,0.699858438676186,-0.259547515492699,5.761661807233265,5.665013903386798,2.9168282370749585,2.5991091214521984,2.3757280002006476,1.9152943008029728
ENST00000513211,-0.454617470946003,-0.416415877861329,-0.243157497171916,-0.523496152825916,-0.611799690858832,-0.405151825904131,-0.281179219878717,-0.54781053902392,-0.857526001970625,-0.424164979292305,-0.633086356411175,5.034233330460687,4.8658954526108165,4.212821599841151,4.420840060655299,4.465270485499414,4.874528763756008
ENST00000519655,1.03614938636015,-0.0333417653234226,-0.535550215223829,0.154520781114807,1.27180456956096,2.51533044457749,0.927797049205569,1.91385900846722,-0.516252008103718,-0.396787930142063,0.226608676553147,3.7009894495921762,3.7048467935678064,1.3093044158418723,2.1801259798287718,2.1637893155802326,2.0488521822083245
ENST00000520024,-0.456113640187381,-0.276882737428527,-0.0134982913886034,-0.501384934985561,-0.590144887682315,-0.408606112713604,-0.351078128011647,-0.539997919682845,0.289668773232009,-0.421036173675134,-0.38803279915199,5.188428342395198,5.043577939384258,4.6053233023179745,4.294147032561987,4.5947377821424435,4.3233379071347855
ENST00000523971,0.380070277874586,-0.32867264538058,-0.459582185055085,-0.302383974422366,0.26681925654071,1.09374293503725,0.81339756946342,1.06754978443848,-0.760107006424548,-0.597865837805552,0.217132886883274,5.66146071295776,5.598880481976838,3.302232586571235,3.22552157045227,3.160402533117451,2.7406108182171227
ENST00000534441,-0.419312729290271,0.0231563160788162,-0.510053608158141,-0.381948110749545,-0.573317823130924,-0.410763088187393,-0.351090013054475,-0.536294159402632,0.259532846579498,-0.5952324264111,0.337844810881179,3.5538397003112823,3.3016151479239757,1.8830527517366056,2.5168351184226556,2.3199262085322956,2.385561320802209
ENST00000549905,0.12875104736913,-0.282018926646913,-0.480406390639899,0.441785373548927,0.662949337702781,2.08870257822197,1.6670645406794,1.61304422820864,-0.295306464227909,-0.776885665867989,0.172644857416244,5.330482397865062,5.25231570538301,6.415430934695322,6.3274926631531025,6.000948472846147,6.296881204537855
ENST00000550905,0.505326331802207,-0.0829915944344808,0.990569953745214,-0.155670606866895,1.36092732713166,0.222215431827241,0.304067030324686,0.0279505707861121,0.125212716356877,-0.256721732013398,-0.0246442956425984,4.595920474416813,4.537692426153624,3.9584276809581938,4.316119488985003,4.715668718653629,4.032842597919506
ENST00000551588,-0.448915853026158,-0.412135720179341,-0.229590930435568,-0.463234022236424,-0.611799690858832,-0.410497373817433,-0.366118649710644,-0.55579677212813,-0.898301755788206,1.46091433167276,-0.62573057392168,4.050746727571884,3.936269973604464,2.862004212330437,3.0390497884572545,2.905866476177282,2.5385421811710893
ENST00000558797,-0.38805815820795603,-0.0594507271835481,2.45820209199427,-0.218832569304303,-0.560370147530714,-0.395992495269057,-0.0956447875495126,-0.299774342758386,1.17342019778968,0.109061718013972,0.763869890174475,6.797486068399786,6.795132178305514,3.77248740985117,3.9795693597327957,3.408264935060938,3.5800994511627766
ENST00000560097,-0.0514022866150972,-0.499450936891892,-0.510053608158141,-0.403334370627921,-0.176544043485502,-0.0212101915697492,-0.175191379198176,0.0140035984809339,-0.584365352527506,-0.885272707122803,-1.00476216071659,4.210086238503682,4.27701760520058,1.3914023970489784,1.5370838022664612,0.9657793775946034,1.505345678196929
ENST00000560439,0.233558915837835,-0.204548072602934,0.717934141447457,-0.222819838095187,1.38961367633623,0.621052701136409,1.31287540809764,0.239817233065188,-0.317600899761655,-0.325581528971292,0.210130438923843,6.17432725545797,6.183673742233284,5.050633812710619,4.874387123040739,5.36197638742245,5.164577093858569
ENST00000580781,-0.462260065178986,-0.406571515192757,-0.579546686020901,-0.456709400578614,-0.611799690858832,-0.410763088187393,-0.337038921170921,-0.51274055887065,-0.881880750857144,0.645625807978565,-0.600194123794396,4.163518754113918,4.219641788804521,3.158540219030181,2.666791703632372,3.384993896155499,3.0500910788416835
ENST00000583163,-0.437103394680448,-0.178439110742808,-0.272875868012202,-0.505372203776445,-0.601358016987695,-0.409950314820458,-0.292511608215338,-0.515402636572054,-0.392171942753838,0.572437829916919,0.218546225003526,3.8830322120785468,3.7856589263697358,4.348563008990599,4.206756964649749,4.359039104342897,3.4960588498495753
ENST00000584544,1.8775820278689,-0.320540345784803,-0.0821849649348674,-0.523496152825916,1.07035396978124,1.13195891354025,3.15956147768939,0.482124175147267,0.110452262486259,-0.0161165800529894,0.245239042683744,5.593005870734145,5.525426681306545,3.93027966765215,3.7127061156933356,4.100759706524132,4.030739719436479
ENST00000602772,-0.462260065178986,-0.348361370717723,-0.419333122552319,-0.470483601856213,-0.574271086533747,-0.410763088187393,-0.379703253663194,-0.499835269144282,-1.018722458616,-0.798317984345607,-0.884596299174239,4.939868933819937,4.916076780492233,2.8704404758144797,3.104069580307665,3.355550118263017,3.5104525686300176
ENST00000603672,3.82628666169438,-0.344937244572133,-0.00671500802042962,-0.487429494217468,2.32225907277725,1.64180226846425,1.14138315386986,0.993937548869241,-0.400382445219369,-0.516386524858404,0.321976878349256,4.353482365567517,4.358970064355745,2.4632581053366533,2.445440778271257,3.4970667045195754,2.9557130097383335
ENST00000611243,-0.462260065178986,-0.523419819911024,-0.413403679048671,-0.505372203776445,-0.608495208186672,-0.410763088187393,-0.353826544165652,-0.544222521252463,-0.921088206450972,-0.636741247598895,-0.936407989809848,1.9321438912575712,1.7980733269998743,1.727785924970367,1.3462203273229814,0.4948079834583881,0.2974086898945075
ENST00000624829,1.26145468182877,-0.375326364114246,-0.469899416751433,-0.254264889696019,2.12706856359132,2.63713703781832,0.31415446042506,1.87988858214714,-0.435992040182234,0.710678891435568,0.841924699997495,4.3046179108988785,4.318817005683369,3.056280375851761,3.07910503328371,3.0712299477833676,3.3807906429393695
ENST00000634836,-0.435895136925519,-0.439100713575864,-0.0725318309109276,-0.368627008198184,-0.57227119887937,-0.404307792023083,-0.280584967737311,-0.465806971569823,1.012315993981,-0.0319431217998434,0.830553752393648,3.695325445884383,3.6060808043159813,1.2011170091542422,1.1717117078136337,1.5124595838660735,1.3150602903021928
ENST00000637970,-0.442243746949744,0.903584751263703,-0.167331773647259,-0.212579806882235,-0.572796967869587,-0.386426777950516,-0.361828149249689,-0.381430682686213,0.126996271199576,0.031519485468431,-0.241141998608505,5.083542890849119,5.124145119779613,0.7588053246889377,1.267056809291129,1.79261392387186,0.7207455123918382
ENST00000644557,2.45734194772185,-0.491746653064314,0.0742574724653939,-0.133378149536046,1.76880367718265,-0.119383836141246,1.43047196436055,0.0452540758452335,-0.414343374505328,0.939394582050729,0.277681576807715,6.062697451252499,6.0522658293149565,3.5948033852014833,3.819261903803083,4.00568163346423,3.719015001803261
ENST00000650541,0.741570646275619,-0.175871016133616,0.24950810465922801,-0.262873765494518,1.85361955138956,2.23720565051521,0.23538633908164,1.18010937420434,-0.75866171198305,-0.203766696942788,-0.589594087892505,3.6888977507451823,3.6180324362357155,3.1542473438925445,3.3254638412171653,3.188055943075467,3.054786986931302
ENST00000651403,-0.450617442260676,0.0240123476152137,-0.510053608158141,-0.452540892297236,-0.611799690858832,-0.410763088187393,-0.372248360549251,-0.555565287110616,-0.877821626042724,-0.63449893690659,-0.330214421505309,3.815397163311147,3.850026904223435,1.022910055140647,0.8780275363801024,1.1896290667730256,0.992229773209145
